Sequence Read Depth,Time,Nap,Nar,NirK,NirS,cNor,qNor,Nos
11959793,15,24,168,913,31,44,629,370
13588372,15,30,274,951,44,46,585,433
12424330,60,32,313,1096,58,46,821,650
11703295,60,50,340,1293,83,42,1206,876
11537511,120,39,343,1571,94,57,1165,1320
12715022,120,45,391,1618,80,105,1331,1300
