Sequence Read Depth,Time,Nap,Nar,NirK,NirS,cNor,qNor,Nos
12333156,15,123,1902,1999,295,267,1507,1117
12343976,60,214,1674,953,145,134,579,715
12019655,60,124,1575,1350,172,150,708,717
8953136,120,143,786,1073,85,107,389,395
11606719,120,160,1556,1483,121,192,585,502
