Sample Name,CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
Treatment,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,None,None,None,None,None,None,None,None,None
Elevation,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir,High,High,High,Low,Low,Low,Spruce Fir,Spruce Fir,Spruce Fir
Depth,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe,Mineral,Oa/A,Oi/Oe
Gene9852,85.25528284,133.8971385,149.9253949,105.3903755,97.38405121,127.9424104,98.98247157,113.3600269,145.7423916,101.2670189,147.7408683,138.3372794,114.4726479,119.7169027,141.0165045,114.3623121,134.3818407,127.7716755
Gene9853,0,0,7.151918131,0,5.087226556,3.298699346,0,0,5.981963835,0,4.740348716,0,0,0,4.879463825,0,0,0
Gene9854,5.213452548,0,0,5.474824703,1.937991069,0.235621382,1.137729558,2.143361854,0,5.227934052,1.843468945,1.557852245,0,0,0.975892765,3.613679008,0.569414579,0
Gene9855,198.7245442,238.3429789,255.8797376,220.0879531,226.744955,260.1260056,235.794451,237.1987118,267.5569279,242.0339839,256.5055361,254.2414864,220.2389254,214.3767793,242.2653789,264.2237063,268.1942668,276.1604367
Gene9856,198.7245442,238.3429789,255.8797376,220.0879531,226.744955,260.1260056,235.794451,237.1987118,267.5569279,242.0339839,256.5055361,254.2414864,220.2389254,214.3767793,242.2653789,264.2237063,268.1942668,276.1604367
Gene9857,31.28071529,43.7215146,59.06954605,31.20650081,42.63580351,47.12427638,35.5540487,44.05799366,49.48715536,37.75730149,43.97990197,38.63473568,29.34369284,40.69089717,51.72231654,28.271724,37.01194765,37.97884199
Gene9858,31.28071529,43.7215146,59.06954605,31.20650081,42.63580351,47.12427638,35.5540487,44.05799366,49.48715536,37.75730149,43.97990197,38.63473568,29.34369284,40.69089717,51.72231654,28.271724,37.01194765,37.97884199
Gene9859,0.613347359,0,0,0,0.242248884,0,0.853297169,0,0.271907447,0,0.263352706,0,0,0,0,0.425138707,0,0
Gene9860,302.0735741,332.1620623,398.9181002,293.7243453,298.6928735,360.2650929,272.7706616,319.3609162,348.5853471,261.0094482,322.8704181,333.06881,287.6326815,314.1765587,336.4390307,294.4085545,301.2203124,308.171175
Gene9861,302.0735741,332.1620623,398.9181002,293.7243453,298.6928735,360.2650929,272.7706616,319.3609162,348.5853471,261.0094482,322.8704181,333.06881,287.6326815,314.1765587,336.4390307,294.4085545,301.2203124,308.171175
Gene9862,0,0.910864887,0,0.54748247,0,0,0,2.381513171,0,0,0,0,0.806145408,0,0,0,0,0
Gene9863,137.3898083,147.2564901,147.5414222,145.9040783,141.7155969,154.3320051,149.6114369,149.5590271,165.0478204,156.25714,159.5917401,161.3934926,147.5246096,134.4941233,144.9200756,160.9150005,184.6801285,180.128222
Gene9864,0.613347359,0.303621629,2.119086854,1.642447411,0,2.827456583,1.137729558,2.143361854,1.359537235,1.549017497,2.633527064,1.557852245,0,0.856650467,0.731919574,0.850277414,0.759219439,2.170219542
Gene9865,0,0,0,0,0,0.235621382,0,0,0.543814894,0,0,0.311570449,0,0,0,0.212569353,0,0.542554886
Gene9866,4.600105189,0,4.503059564,4.653600998,3.39148437,0,0,0,5.166241494,0,4.213643303,0,4.030727038,0,4.879463825,0,0,0
Gene9867,0.306673679,0,0,0,0,0,0,0,0,0.193627187,0,0,0,0,0,0,0,0
Gene9868,1455.473282,1275.210842,1157.286308,1403.197571,1272.048888,1157.136606,1357.026931,1267.917612,1109.110477,1426.838742,1219.059678,1215.124751,1319.982491,1227.580119,1186.441629,1334.510401,1152.305303,1110.609851
Gene9869,1455.473282,1275.210842,1157.286308,1403.197571,1272.048888,1157.136606,1357.026931,1267.917612,1109.110477,1426.838742,1219.059678,1215.124751,1319.982491,1227.580119,1186.441629,1334.510401,1152.305303,1110.609851
Gene9870,1.226694717,0.303621629,0,0,0.484497767,0.235621382,0.853297169,0,0,1.936271871,0.790058119,0.623140898,0,0.214162617,0.243973191,1.062846767,0.569414579,0
Gene9871,40.48092566,50.70481207,46.35502492,48.17845739,51.59901221,50.89421849,59.44636942,57.87077005,53.83767452,47.63228803,50.82707234,54.83639903,59.17107292,39.8342467,50.50245059,54.20518512,54.28418988,38.79267432
Gene9872,0,0,0.264885857,0,0,0.235621382,0.28443239,0.238151317,0,0.193627187,0.263352706,0,0,0,0.487946382,0.212569353,0.759219439,0.542554886
Gene9873,276.9263324,306.9614671,300.1156757,276.2049063,282.4621983,318.7957297,303.7737921,288.401245,304.5363407,301.090276,331.2977047,329.6415351,291.8246376,289.7620204,322.5325588,279.103561,289.2626062,314.1392787
Gene9874,3.373410472,7.590540729,16.95269483,5.474824703,6.298470973,12.959176,7.679674518,9.287901365,19.57733619,4.453425304,13.43098803,8.723972573,5.481788772,8.35234205,8.295088502,4.251387068,8.731023547,13.56387214
Gene9875,29.13399953,35.52373061,49.79854106,24.08922869,30.52335933,40.99812045,25.03005028,29.53076332,38.06704259,21.68624496,27.91538688,38.32316523,27.0864857,29.5544411,36.1080323,12.54159185,23.91541233,29.29796382
