CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
0.802019892,0.055760046,0,0,0,0,0,0.042491952,0,0.10023702,0.093251936,0.052055944,0.055704993,0.037838149,0,0,0.169482609,0
8.50141086,7.806406472,12.05630527,7.12201406,9.869517324,12.46966742,8.118433667,7.606059488,13.17287176,8.186023337,11.09698033,7.860447592,7.241649153,10.67035806,12.23663417,10.06800726,11.3553348,12.21086866
0.320807957,0.44608037,0.756671879,0.189920375,0.510492275,0.704998865,0.244531135,0.127475857,0.14690935,0.367535742,1.352153066,0.468503499,0.111409987,0.340543342,0.205312654,0,0.37286174,0.137716564
0.962423871,0.557600462,1.412454173,0.854641687,1.020984551,1.938746879,0.391249815,0.424919524,2.350549607,0.601422123,1.492030969,1.093174831,0.278524967,1.135144474,1.149750861,0.354507298,0.271172174,1.331260118
14.1690181,18.01049493,19.3203553,17.33023421,14.97444008,19.47559364,10.9060886,15.67953045,22.47713062,14.60119265,15.0601876,15.56472735,15.95948063,16.00553708,15.76801181,14.7475036,16.40591654,15.83740485
114.6888446,154.343808,176.5063269,116.3262296,134.3020094,163.9122361,121.6786925,147.5745509,162.9224697,115.7069339,136.7539635,138.8332035,121.2976233,130.0875567,137.9290408,115.7820835,145.6194576,135.4671933
0,0,0.050444792,0,0,0,0,0.042491952,0,0,0,0,0,0,0.041062531,0,0,0
1.924847742,2.564962127,1.866457301,2.041644031,1.44639478,1.718434733,1.760624169,1.402234431,1.469093505,0.668246803,0.792641452,1.093174831,1.754707295,1.248658921,1.108688331,0.957169704,1.52534348,0.642677298
12.35110634,18.84689563,26.8366293,12.01246371,14.4639478,16.78778547,14.42733694,15.29710288,20.61627885,16.03792327,15.47982131,16.9181819,13.61987091,15.62715559,16.63032496,14.64115141,14.74498698,16.02102693
0,0.167280139,0.151334376,0.142440281,0,0.440624291,0.244531135,0.084983905,0,0.06682468,0.093251936,0.36439161,0.08355749,0.378381491,0.082125062,0.07090146,0.237275652,0
34.59379136,32.11778663,32.73866995,30.95702111,31.1400288,37.05650284,29.4415486,32.8887712,30.11641685,27.33129425,31.42590229,26.5485316,26.26490443,32.9570279,25.08920629,20.41962036,31.15090352,34.88819618
3.956631469,3.122562589,1.412454173,2.279044499,1.531476826,1.277810443,3.521248337,2.464533242,1.469093505,3.474883376,3.030687906,2.030181828,1.699002301,1.286497071,0.451687838,1.6661843,1.050792175,1.468976681
186.0151471,167.4474188,156.7319685,177.8604311,170.0364687,160.0788048,158.9941437,160.7045642,144.1670426,181.8633675,154.0055716,150.1293434,165.0538957,157.1039952,145.1560462,151.4809684,155.8223106,136.6148314
90.84211982,88.37967328,98.36734422,78.53207503,80.65777951,94.51391033,77.46746342,82.00946823,97.98853676,81.09174955,83.55373428,76.52223814,79.15679574,84.18988182,97.15394778,73.91477162,91.35112621,93.32592479
0.106935986,0.501840416,0.554892711,0.142440281,0.255246138,0.881248581,0.440156042,0.467411477,0.783516536,0,0.652763549,0.624671332,0.278524967,0,0.862313146,0.354507298,0.406758261,0.596771777
0.37427595,1.170960971,2.219570844,0.902121781,0.638115344,2.864057889,1.173749446,1.359742478,3.378915061,1.169431905,1.725160808,1.457566441,0.612754928,1.248658921,2.915439684,0.850817515,0.711826957,1.606693245
8.12713491,5.408724484,4.943589607,9.970819684,8.891073796,4.626555051,6.113278363,7.691043393,4.015522246,11.12630927,6.34113162,7.339888148,5.291974381,5.864913116,4.270503199,9.358992666,6.575925226,4.59055213
5.66760724,4.237763514,3.732914601,3.703447311,4.977299685,5.463741203,4.157029287,5.693921628,3.23200571,3.708769757,4.242963069,3.800083935,2.757397177,4.80544494,2.463751846,2.836058384,4.101479136,3.213386491
0,0.167280139,0.201779168,0,0.127623069,0,0,0.16996781,0.195879134,0.200474041,0.279755807,0.156167833,0.16711498,0.227028895,0.123187592,0.141802919,0.135586087,0.183622085
0,0,0.050444792,0.474800937,0,0,0.391249815,0.16996781,0,0.902133184,0.326381775,0.416447555,0,0,0.041062531,0.779916056,0,0.045905521
10.31932262,13.10361086,16.04144383,8.071615935,14.33632473,20.48902951,13.35139995,15.16962702,17.48221271,10.09052673,13.24177485,11.29613992,13.03496848,16.30824228,15.72694928,9.110837558,10.10116349,15.79149933
0,0,0,0,0,0,0,0.042491952,0,0,0.046625968,0,0,0,0,0,0,0
132.6006222,97.97040123,85.85703583,118.5577941,103.5023088,88.38923269,117.5705695,110.9889798,86.08887937,141.6014976,105.0483054,104.3721684,114.2509416,97.84945366,90.29650514,116.2783937,118.231068,86.99096286
42.61399029,37.91683144,43.634745,33.14110543,27.01354957,34.10432009,30.41967314,34.97087687,35.99279086,37.02087289,38.93268311,37.84467152,33.20017612,32.31377936,30.79689807,25.13456743,29.08321569,24.97260358
0,0,0.050444792,0.047480094,0,0,0,0,0,0,0,0,0.027852497,0,0,0.03545073,0,0
43.79028613,41.31819426,46.91365647,39.07611714,39.90347952,37.93775142,34.91904601,38.41272501,38.68612896,30.57229124,30.44675697,33.73225192,34.62065345,34.20568682,34.69783849,26.30444151,30.5068696,33.60284159
133.3491741,83.19398898,41.91962208,74.35382679,63.34358317,31.50463678,135.8125921,120.5496691,50.04711873,132.8140521,74.08866282,71.62897938,62.97449513,65.42215985,34.45146331,88.66227522,100.8421523,54.67347586
59.13560007,67.58117603,82.52767956,60.25223895,62.49276271,72.70300795,64.01825102,63.39799305,75.07067809,58.23770889,74.46167056,59.65611219,58.54594815,61.82753568,67.30148792,50.72999434,59.31891312,60.1362329
16.94935373,14.1072917,16.44500216,24.83208902,16.54845793,12.42560499,13.49811863,15.33959483,12.09553652,15.40308881,13.14852292,13.48248958,23.36824477,18.65420752,14.57719842,16.20098352,15.21953828,10.69598646
0.481211935,1.170960971,2.623129179,0.474800937,1.616558872,2.467496027,0.63578095,0.382427572,1.762912206,0.400948082,1.119023227,0.884951053,0.724164915,0.983791877,1.683563761,0.496310217,0.881309566,1.101732511
27.21520835,26.98786238,24.61705845,26.01909137,25.14174456,23.17683769,26.06701894,29.44692305,22.77094932,28.36707679,28.44184035,26.23619593,27.15618432,25.76777956,21.39357853,27.54521705,30.10011134,25.11032015
31.3322438,30.83530557,31.1748814,38.55383611,33.86265427,28.37620431,34.38107752,32.12391605,27.52101832,31.84196017,31.7056581,27.4855386,38.01865805,34.09217237,31.00221072,32.93372798,31.76104091,30.66488823
5.988415197,6.746965594,3.480690642,3.798407499,5.360168891,4.22999319,6.113278363,5.863889438,3.280975494,4.009480818,3.496947584,4.164475545,5.152711897,5.637884221,3.120752338,4.324989035,4.813306093,5.784095683
57.47809229,61.55909104,67.19246282,52.51298367,57.77070916,67.72395346,46.85216538,58.63889438,61.89780633,49.51708811,55.81128345,55.38752475,52.44625137,58.30858781,50.50691284,38.25133745,45.5908218,53.38812127
0.213871971,0.89216074,1.261119798,0,1.318771711,0.793123723,1.173749446,1.529710288,1.028365453,0.467772762,0,0.937006998,0.250672471,1.664878562,0.698063023,0.957169704,0.813516523,1.377165639
5.774543226,6.635445502,14.78032403,7.50185481,8.295499475,10.26654597,6.651246859,10.11308468,11.16511064,6.58223101,7.973040492,9.578293754,8.355749023,7.491953528,9.937132444,6.416582093,7.050476531,6.839922673
0.053467993,0.334560277,0.353113543,0.189920375,0.212705115,0.264374574,0,0,0.342788484,0.06682468,0.139877903,0.416447555,0.139262484,0.302705193,0.657000492,0,0,0.137716564
59.13560007,67.58117603,82.52767956,60.25223895,62.49276271,72.70300795,64.01825102,63.39799305,75.07067809,58.23770889,74.46167056,59.65611219,58.54594815,61.82753568,67.30148792,50.72999434,59.31891312,60.1362329
0,0.055760046,0,0.047480094,0.042541023,0.044062429,0.048906227,0,0,0,0,0,0.027852497,0.075676298,0,0,0,0.045905521
